type,ref,date,title,subject,MNIS_id,gender,constituency
Presentation bills,Bill 118 2019-21,2020-03-18,Vagrancy (Repeal) Bill 2019-21,NA,4656,F,Oxford West and Abingdon
Ten minute rule bills,Bill 113 2019-21,2020-03-17,Company Transparency (Carbon in Supply Chains) Bill 2019-21,Disclosure of information; Companies; Carbon emissions,4110,F,Staffordshire Moorlands
Ten minute rule bills,Bill 112 2019-21,2020-03-16,Assaults on Retail Workers (Offences) Bill 2019-21,Crimes against the person; Crimes of violence; Staff; Shops; Retail trade,4641,M,Nottingham North
Presentation bills,Bill 105 2019-21,2020-03-12,Gender-Based Pricing (Prohibition) Bill 2019-21,Equality; Gender; Prices; Manufactured goods,4634,F,Edinburgh West
Presentation bills,Bill 111 2019-21,2020-03-11,Protest (Abortion Clinics) Bill 2019-21,Demonstrations; Abortion; Clinics,4591,F,Richmond Park
Ten minute rule bills,Bill 110 2019-21,2020-03-10,Aviation Banning Orders (Disruptive Passengers) Bill 2019-21,Aviation; Misconduct; Passengers,3970,M,Dartford
Presentation bills,Bill 109 2019-21,2020-03-10,Victims of Abuse (Support) Bill 2019-21,Domestic abuse; Sexual offences; Victims,4776,F,Twickenham
Presentation bills,Bill 108 2019-21,2020-03-09,Hate Crime (Misandry and Misogyny) Bill 2019-21,Females; Males; Sentencing; Hate crime,1537,M,Kettering
Presentation bills,Bill 107 2019-21,2020-03-09,Hate Crime (Misogyny) Bill 2019-21,Females; Sentencing; Hate crime,4602,F,Bath
Ten minute rule bills,Bill 101 2019-21,2020-03-04,June Bank Holiday (Creation) Bill 2019-21,Public holidays; Brexit,1581,M,Wellingborough
Presentation bills,Bill 100 2019-21,2020-03-04,International Development (Women's Sanitary Products) Bill 2019-21,Overseas aid; Sanitary protection,4765,F,North East Fife
Ten minute rule bills,Bill 99 2019-21,2020-03-03,Rule of Law (Enforcement by Public Authorities) Bill 2019-21,Crime; Enforcement; Local government; Powers; Public bodies,242,M,Christchurch
Presentation bills,Bill 98 2019-21,2020-03-03,School Toilets (Access During Lessons) Bill 2019-21,Access; Pupils; Schools; Sanitation,4656,F,Oxford West and Abingdon
Presentation bills,Bill 97 2019-21,2020-03-03,Sentencing (Women) Bill 2019-21,Females; Offenders; Sentencing; Community orders,4769,F,St Albans
Ten minute rule bills,Bill 94 2019-21,2020-02-26,Workers (Definition and Rights) Bill 2019-21,Conditions of employment; Staff,4463,M,Glasgow South West
Presentation bills,Bill 93 2019-21,2020-02-26,European Citizens' Rights Bill 2019-21,Immigration; Documents; EU nationals; Switzerland; European economic area,4634,F,Edinburgh West
Ten minute rule bills,Bill 92 2019-21,2020-02-25,Hong Kong Bill 2019-21,Immigration; Hong Kong; British national (overseas); Sino-British Joint Declaration,1442,M,Orkney and Shetland
Presentation bills,Bill 91 2019-21,2020-02-25,National Health Service Expenditure Bill 2019-21,Armed forces; Expenditure; NHS; Mental health services; Veterans,4612,M,"Caithness, Sutherland and Easter Ross"
Presentation bills,Bill 87 2019-21,2020-02-10,Asylum Seekers (Accommodation Eviction Procedures) Bill 2019-21,Asylum; Housing; Evictions,4463,M,Glasgow South West
Presentation bills,Bill 86 2019-21,2020-02-10,Universal Credit Sanctions (Zero Hours Contracts) Bill 2019-21,Universal credit; Zero hours contracts,4463,M,Glasgow South West
Presentation bills,Bill 85 2019-21,2020-02-10,Evictions (Universal Credit Claimants) Bill 2019-21,Arrears; Evictions; Rented housing; Universal credit,4463,M,Glasgow South West
Presentation bills,Bill 84 2019-21,2020-02-10,Local Government (Governance) Bill 2019-21,Local government,1581,M,Wellingborough
Presentation bills,Bill 83 2019-21,2020-02-10,North Northamptonshire (Urgent Care Facilities) Bill 2019-21,Health services; Northamptonshire,1581,M,Wellingborough
Presentation bills,Bill 82 2019-21,2020-02-10,Isham Bypass Bill 2019-21,Bypasses; Northamptonshire,1581,M,Wellingborough
Presentation bills,Bill 81 2019-21,2020-02-10,Human Trafficking (Child Protection) Bill 2019-21,Children; Human trafficking; Protection,1581,M,Wellingborough
Presentation bills,Bill 80 2019-21,2020-02-10,Child Safety (Cycle Helmets) Bill 2019-21,Cycling; Helmets; Protective clothing; Safety,1581,M,Wellingborough
Presentation bills,Bill 79 2019-21,2020-02-10,Electoral Candidates (Age) Bill 2019-21,Candidates; Age; Elections,1581,M,Wellingborough
Presentation bills,Bill 78 2019-21,2020-02-10,Homeless People (Current Accounts) Bill 2019-21,Bank services; Homelessness,1581,M,Wellingborough
Presentation bills,Bill 77 2019-21,2020-02-10,British Broadcasting Corporation (Oversight) Bill 2019-21,BBC,1581,M,Wellingborough
Presentation bills,Bill 76 2019-21,2020-02-10,Prime Minister (Accountability to the House of Commons) Bill 2019-21,Accountability; Prime Minister,1581,M,Wellingborough
Presentation bills,Bill 75 2019-21,2020-02-10,Prime Minister (Temporary Replacement) Bill 2019-21,Prime Minister,1581,M,Wellingborough
Presentation bills,Bill 74 2019-21,2020-02-10,General Election (Leaders' Debates) Bill 2019-21,Elections; Political parties,1581,M,Wellingborough
Presentation bills,Bill 73 2019-21,2020-02-10,Hospitals (Parking Charges and Business Rates) Bill 2019-21,Hospitals; Fees and charges; Parking; Non-domestic rates,1581,M,Wellingborough
Presentation bills,Bill 72 2019-21,2020-02-10,Voter Registration Bill 2019-21,Elections; Registration,1581,M,Wellingborough
Presentation bills,Bill 71 2019-21,2020-02-10,Parliamentary Constituencies (Amendment) Bill 2019-21,Constituencies,1581,M,Wellingborough
Presentation bills,Bill 70 2019-21,2020-02-10,Criminal Fraud (Private Prosecutions) Bill 2019-21,Fraud; Prosecutions,242,M,Christchurch
Presentation bills,Bill 69 2019-21,2020-02-10,Domestic Energy (Value Added Tax) Bill 2019-21,Energy; VAT,242,M,Christchurch
Presentation bills,Bill 68 2019-21,2020-02-10,Judicial Appointments and Retirements (Age Limits) Bill 2019-21,Age; Judiciary,242,M,Christchurch
Presentation bills,Bill 67 2019-21,2020-02-10,Speed Limits (England) Bill 2019-21,Driving; Roads; Speed limits,242,M,Christchurch
Presentation bills,Bill 66 2019-21,2020-02-10,Stamp Duty Bill 2019-21,Property; Stamp duties,242,M,Christchurch
Presentation bills,Bill 65 2019-21,2020-02-10,Student Loans (Debt Discharge) Bill 2019-21,Debts; Bankruptcy; Higher education; Loans; Students,242,M,Christchurch
Presentation bills,Bill 64 2019-21,2020-02-10,Sublet Property (Offences) Bill 2019-21,Rented housing,242,M,Christchurch
Presentation bills,Bill 63 2019-21,2020-02-10,Mobile Homes and Park Homes Bill 2019-21,Park homes,242,M,Christchurch
Presentation bills,Bill 62 2019-21,2020-02-10,Electronic Cigarettes (Regulation) Bill 2019-21,Electronic cigarettes,242,M,Christchurch
Presentation bills,Bill 61 2019-21,2020-02-10,Local Roads (Investment) Bill 2019-21,Roads; Repairs and maintenance,242,M,Christchurch
Presentation bills,Bill 60 2019-21,2020-02-10,Working Time and Holiday Pay Bill 2019-21,Conditions of employment; Holidays; Pay; Working hours,242,M,Christchurch
Presentation bills,Bill 59 2019-21,2020-02-10,Public Services (Availability) Bill 2019-21,Public sector; Public service,242,M,Christchurch
Presentation bills,Bill 58 2019-21,2020-02-10,Benefits and Public Services (Restriction) Bill 2019-21,Eligibility; Migrants; Social security benefits,242,M,Christchurch
Presentation bills,Bill 57 2019-21,2020-02-10,Local Authorities (Borrowing and Investment) Bill 2019-21,Borrowing; Land; Local government; Property,242,M,Christchurch
Presentation bills,Bill 56 2019-21,2020-02-10,International Payments (Audit) Bill 2019-21,Audit; Business,242,M,Christchurch
Presentation bills,Bill 55 2019-21,2020-02-10,Green Belt Protection Bill 2019-21,Green belt; Property development,242,M,Christchurch
Presentation bills,Bill 54 2019-21,2020-02-10,Bat Habitats Regulation Bill 2019-21,Bats,242,M,Christchurch
Presentation bills,Bill 53 2019-21,2020-02-10,Schools Bill 2019-21,Class sizes; Pupils; Schools,242,M,Christchurch
Presentation bills,Bill 52 2019-21,2020-02-10,International Development Assistance (Definition) Bill 2019-21,Developing countries; Overseas aid,242,M,Christchurch
Presentation bills,Bill 51 2019-21,2020-02-10,Free Trade (Education and Reporting) Bill 2019-21,Education; Excise duties; Free trade,242,M,Christchurch
Presentation bills,Bill 50 2019-21,2020-02-10,Foreign Nationals (Criminal Offender and Prisoner Removal) Bill 2019-21,Offenders; Prisoners; Nationality,242,M,Christchurch
Presentation bills,Bill 49 2019-21,2020-02-10,Border Control Bill 2019-21,Immigration,242,M,Christchurch
Presentation bills,Bill 48 2019-21,2020-02-10,Illegal Immigration (Offences) Bill 2019-21,Undocumented migrants,242,M,Christchurch
Presentation bills,Bill 47 2019-21,2020-02-10,Deregulation Bill 2019-21,Business; Regulation,242,M,Christchurch
Presentation bills,Bill 46 2019-21,2020-02-10,Value Added Tax Bill 2019-21,Exemptions; VAT,242,M,Christchurch
Presentation bills,Bill 45 2019-21,2020-02-10,National Health Service (Co-funding and Co-payment) Bill 2019-21,Finance; NHS,242,M,Christchurch
Presentation bills,Bill 44 2019-21,2020-02-10,Tax Rates and Duties (Review) Bill 2019-21,Excise duties; Taxation; Tax rates and bands; Tax yields,242,M,Christchurch
Presentation bills,Bill 43 2019-21,2020-02-10,BBC Licence Fee (Civil Penalty) Bill 2019-21,BBC; Arrears; Television licences,242,M,Christchurch
Presentation bills,Bill 42 2019-21,2020-02-10,Public Service Broadcasters (Privatisation) Bill 2019-21,BBC; Channel Four; Privatisation,242,M,Christchurch
Presentation bills,Bill 41 2019-21,2020-02-10,Human Rights and Responsibilities Bill 2019-21,Human rights,242,M,Christchurch
Presentation bills,Bill 40 2019-21,2020-02-10,Healthcare (Local Accountability) Bill 2019-21,Accountability; Health services; Clinical commissioning groups,242,M,Christchurch
Presentation bills,Bill 39 2019-21,2020-02-10,Local Authorities (Removal of Council Tax Restrictions) Bill 2019-21,Council tax,242,M,Christchurch
Presentation bills,Bill 38 2019-21,2020-02-10,Student Loans (Debt Interest) Bill 2019-21,Higher education; Loans; Students,242,M,Christchurch
Presentation bills,Bill 37 2019-21,2020-02-10,Public Sector Exit Payments (Limitation) Bill 2019-21,Conditions of employment; Public sector; Termination of employment,242,M,Christchurch
Presentation bills,Bill 36 2019-21,2020-02-10,Mobile Homes Act 1983 (Amendment) Bill 2019-21,Park homes,242,M,Christchurch
Presentation bills,Bill 35 2019-21,2020-02-10,Caravan Sites Bill 2019-21,Caravan sites,242,M,Christchurch
Presentation bills,Bill 34 2019-21,2020-02-10,Housing Act 2004 (Amendment) Bill 2019-21,Licensing; Social rented housing,242,M,Christchurch
Presentation bills,Bill 33 2019-21,2020-02-10,Anxiety (Environmental Concerns) Bill 2019-21,Environment,242,M,Christchurch
Presentation bills,Bill 32 2019-21,2020-02-10,Net Zero Carbon Emissions (Audit) Bill 2019-21,Audit; Climate change; Carbon emissions,242,M,Christchurch
Presentation bills,Bill 31 2019-21,2020-02-10,Decarbonisation of Road Transport (Audit) Bill 2019-21,Motor vehicles; Roads; Carbon emissions,242,M,Christchurch
Presentation bills,Bill 30 2019-21,2020-02-10,Anxiety in Schools (Environmental Concerns) Bill 2019-21,Environment; Schools,242,M,Christchurch
Ballot bills,Bill 29 2019-21; Ballot 20,2020-02-05,Asylum Seekers (Permission to Work) Bill 2019-21,Asylum; Employment,4443,F,Glasgow North West
Ballot bills,Bill 28 2019-21; Ballot 19,2020-02-05,Third Sector Organisations (Impact and Support) Bill 2019-21,Standards; Third sector,4744,M,Barrow and Furness
Ballot bills,Bill 27 2019-21; Ballot 18,2020-02-05,NHS 111 Service (Training and Clinical Oversight) Bill 2019-21,Health professions; Standards; Training; NHS 111,4515,F,Edmonton
Ballot bills,Bill 26 2019-21; Ballot 17,2020-02-05,Meat (Grading and Labelling) Bill 2019-21,Labelling; Meat; Marketing; Standards,1428,M,North Herefordshire
Ballot bills,Bill 25 2019-21; Ballot 16,2020-02-05,Registers of Births and Deaths Bill 2019-21,"Death; Registration of births, deaths, marriages and civil partnerships; Childbirth",1211,M,Sutton Coldfield
Ballot bills,Bill 24 2019-21; Ballot 15,2020-02-05,Education and Training (Welfare of Children) Bill 2019-21,Children; Educational institutions; Protection,4753,F,City of Durham
Ballot bills,Bill 23 2019-21; Ballot 14,2020-02-05,Unpaid Work Experience (Prohibition) (No. 2) Bill 2019-21,Minimum wage; Unpaid work,4122,M,Stockton North
Ballot bills,Bill 22 2019-21; Ballot 13,2020-02-05,Trade Agreements (Exclusion of National Health Services) Bill 2019-21,Exemptions; NHS; Procurement; Trade agreements,4466,M,Glenrothes
Ballot bills,Bill 21 2019-21; Ballot 12,2020-02-05,Public Interest Disclosure (Protection) Bill 2019-21,Disclosure of information; Protection,4385,F,Central Ayrshire
Ballot bills,Bill 20 2019-21; Ballot 11,2020-02-05,British Library Board (Power to Borrow) Bill 2019-21,Borrowing; British Library Board,4639,M,Hitchin and Harpenden
Ballot bills,Bill 19 2019-21; Ballot 10,2020-02-05,Mental Health Admissions (Data) Bill 2019-21,Admissions; Mental illness; Mental health services,4785,M,Runnymede and Weybridge
Ballot bills,Bill 18 2019-21; Ballot 9,2020-02-05,Control of Roadworks Bill 2019-21,Fixed penalties; Planning; Roads; Repairs and maintenance; Road works,1444,M,Rayleigh and Wickford
Ballot bills,Bill 17 2019-21; Ballot 8,2020-02-05,Prisons (Substance Testing) Bill 2019-21,Drugs; Prisoners; Prisons; Misuse; Testing,NA,NA,NA
Ballot bills,Bill 16 2019-21; Ballot 7,2020-02-05,Sewage (Inland Waters) Bill 2019-21,Inland waterways; Pollution; Sewage; Water companies; Water treatment,1542,M,Ludlow
Ballot bills,Bill 15 2019-21; Ballot 6,2020-02-05,National Minimum Wage Bill 2019-21,Minimum wage,4828,F,"Liverpool, Wavertree"
Ballot bills,Bill 14 2019-21; Ballot 5,2020-02-05,Animal Welfare (Sentencing) Bill 2019-21,Animal welfare; Criminal proceedings; Sentencing,4751,M,West Dorset
Ballot bills,Bill 13 2019-21; Ballot 4,2020-02-05,Botulinum Toxin and Cosmetic Fillers (Children) Bill 2019-21,Children; Regulation; Botulinum toxin; Non-surgical cosmetic procedures,4780,F,Sevenoaks
Ballot bills,Bill 12 2019-21; Ballot 3,2020-02-05,Co-operative and Community Benefit Societies (Environmentally Sustainable Investment) Bill 2019-21,Finance; Environment protection; Investment; Co-operative and community benefit societies,4632,F,Cardiff North
Ballot bills,Bill 11 2019-21; Ballot 2,2020-02-05,Forensic Science Regulator and Biometrics Strategy Bill 2019-21,Forensic science; Regulation; Forensic Science Regulator,4621,M,Bristol North West
Ballot bills,Bill 10 2019-21; Ballot 1,2020-02-05,Education (Guidance about Costs of School Uniforms) Bill 2019-21,Costs; Schools; Uniforms,4667,M,Weaver Vale
